Team,1st Downs,RushAtt,RushYDs,RushTDs,PassComp,PassAtt,PassYds,PassTDs,INT,Sacked,SackedYDs,NetPassYDs,TotalYDs,Fumbles,FumblesLost,TotalTurnovers,Penalties,PenaltyYDs,3rdMade,3rdAtt,4thMade,4thAtt,TOP,Q1pts,Q2pts,Q3pts,Q4pts,OTpts,URL
NYJ,18,36,154,2,15,24,179,2,1,0,0,179,333,1,0,1,4,30,7,13,0,1,28:20:00,0,14,10,7,null,http://www.pro-football-reference.com/boxscores/201509130nyj.htm
CLE,20,14,15,0,33,45,372,1,1,6,45,327,342,2,2,3,12,188,5,13,1,3,32:43:00,3,0,0,6,null,http://www.pro-football-reference.com/boxscores/201511150pit.htm
PIT,22,21,60,0,25,37,402,3,1,1,3,399,459,3,1,2,5,50,3,10,0,1,27:17:00,6,15,3,6,null,http://www.pro-football-reference.com/boxscores/201511150pit.htm
CLE,20,21,100,0,32,41,356,2,0,4,24,332,432,1,1,1,12,91,4,13,0,0,34:19:00,3,10,3,11,null,http://www.pro-football-reference.com/boxscores/201510040sdg.htm
SDG,23,21,91,0,23,38,358,3,0,2,11,347,438,0,0,0,6,31,3,11,0,0,25:41:00,7,6,7,10,null,http://www.pro-football-reference.com/boxscores/201510040sdg.htm
CLE,15,17,94,0,19,32,161,1,1,3,25,136,230,2,0,1,4,40,6,12,0,0,25:27:00,7,3,0,3,null,http://www.pro-football-reference.com/boxscores/201512200sea.htm
SEA,28,36,182,0,21,30,249,3,0,2,8,241,423,0,0,0,5,30,9,12,0,0,34:33:00,7,13,0,10,null,http://www.pro-football-reference.com/boxscores/201512200sea.htm
CLE,19,24,82,0,30,37,297,0,0,4,15,282,364,4,4,4,11,98,3,12,0,1,35:33:00,0,3,3,0,null,http://www.pro-football-reference.com/boxscores/201510250ram.htm
STL,16,26,158,2,15,23,163,0,0,2,13,150,308,1,1,1,9,75,1,9,0,0,24:27:00,10,0,7,7,null,http://www.pro-football-reference.com/boxscores/201510250ram.htm
DAL,14,25,121,0,13,31,186,0,1,0,0,186,307,1,1,2,8,65,7,14,0,0,28:30:00,3,3,0,0,null,http://www.pro-football-reference.com/boxscores/201512270buf.htm
BUF,19,40,236,2,13,18,179,0,1,3,7,172,408,1,1,2,7,62,6,14,0,1,31:30:00,6,0,3,7,null,http://www.pro-football-reference.com/boxscores/201512270buf.htm
DAL,11,20,171,1,13,29,114,0,1,2,15,99,270,0,0,1,6,30,1,11,0,2,22:12,0,0,7,0,null,http://www.pro-football-reference.com/boxscores/201512130gnb.htm
GNB,29,44,230,2,22,35,218,2,0,2,13,205,435,1,0,0,8,69,7,14,0,1,37:48:00,0,14,0,14,null,http://www.pro-football-reference.com/boxscores/201512130gnb.htm
DAL,22,38,166,0,18,28,227,2,2,2,7,220,386,0,0,2,10,79,7,14,1,2,38:50:00,0,14,0,10,null,http://www.pro-football-reference.com/boxscores/201511220mia.htm
MIA,9,14,70,0,13,24,188,2,1,3,48,140,210,1,0,1,9,74,1,10,0,1,21:10,0,7,7,0,null,http://www.pro-football-reference.com/boxscores/201511220mia.htm
DAL,21,28,115,1,16,26,246,1,0,3,26,220,335,0,0,0,6,30,3,12,1,1,29:20:00,3,7,3,7,0,http://www.pro-football-reference.com/boxscores/201510040nor.htm
NOR,27,25,103,1,33,41,359,2,0,3,24,335,438,0,0,0,8,64,6,13,1,1,30:53:00,7,0,6,7,6,http://www.pro-football-reference.com/boxscores/201510040nor.htm
